3.09,6.53,-9.56
3.00,6.50,-9.66
3.23,6.09,-10.26
3.63,6.34,-10.49
3.91,7.32,-10.91
3.83,6.90,-11.47
3.71,6.05,-10.87
3.71,5.67,-10.10
3.59,6.57,-9.24
3.36,7.91,-7.81
3.18,8.05,-7.15
3.21,7.72,-7.00
3.40,8.11,-6.43
3.65,9.09,-5.60
3.35,9.71,-4.16
3.11,9.74,-2.46
2.95,9.42,-1.66
2.77,8.76,-1.03
2.82,9.72,-0.53
2.72,9.17,0.44
2.11,7.88,1.54
1.70,7.37,2.09
1.73,6.65,2.55
1.79,7.23,3.13
1.89,7.18,3.47
2.01,7.30,4.36
1.80,7.00,4.53
1.76,6.54,4.56
1.77,6.11,4.65
1.88,6.52,4.78
2.14,6.73,4.87
2.19,6.50,4.78
2.26,6.15,5.28
2.26,6.37,4.87
2.34,6.49,4.95
2.28,6.89,4.81
2.41,7.15,4.18
2.36,7.51,3.63
2.42,7.60,3.45
2.45,8.25,3.77
2.56,9.33,3.80
2.52,9.00,2.71
2.53,8.84,1.34
2.27,8.90,0.54
2.69,7.82,-1.63
2.80,7.16,-3.53
2.94,8.53,-2.90
3.22,10.34,-2.25
3.90,9.75,-3.97
3.57,9.08,-6.18
3.36,7.32,-7.37
3.84,6.97,-8.86
3.68,7.39,-8.76
3.45,6.53,-9.45
3.34,6.15,-10.17
3.42,6.05,-10.81
3.38,5.62,-10.39
3.35,4.66,-10.35
3.57,4.43,-10.53
4.21,5.27,-11.68
4.54,5.58,-12.23
4.50,5.51,-11.63
4.35,5.23,-11.20
4.19,6.42,-10.21
4.24,7.15,-9.57
4.31,7.68,-9.31
4.51,8.43,-8.72
4.54,8.64,-8.83
4.02,7.67,-7.91
3.72,7.67,-6.80
3.27,7.69,-5.79
3.01,7.64,-4.10
3.13,8.58,-3.30
3.57,9.11,-3.56
3.68,8.92,-3.36
3.28,8.85,-1.74
2.92,8.85,-0.22
2.93,9.04,0.19
3.39,9.53,0.34
3.36,8.85,0.65
3.19,8.44,0.98
2.82,7.81,1.98
2.66,7.64,2.65
2.77,8.35,3.01
3.08,8.47,2.97
3.06,8.58,3.00
2.77,7.83,3.23
2.43,7.50,3.56
2.28,7.97,4.04
2.86,8.85,3.79
2.64,8.75,3.32
2.22,7.84,3.05
2.04,7.48,1.77
2.11,7.96,1.69
2.33,8.68,2.01
2.42,9.56,2.25
2.51,8.73,0.97
2.46,8.06,-0.53
2.65,8.93,-0.53
3.23,9.56,-0.96
3.24,9.23,-2.10
3.06,9.18,-2.62
3.18,9.08,-3.89
3.35,8.41,-5.55
3.45,8.38,-6.20
3.63,8.70,-6.80
3.65,7.68,-7.65
3.66,7.67,-7.90
3.94,7.41,-8.88
4.12,7.68,-9.33
4.02,6.97,-9.46
4.05,7.02,-9.54
4.15,6.96,-9.59
3.99,6.93,-9.66
3.80,6.73,-9.14
3.82,7.33,-8.68
3.97,7.72,-8.76
4.04,8.23,-8.67
4.06,8.36,-8.43
4.07,8.31,-8.50
3.79,8.61,-7.89
3.46,7.90,-7.30
3.13,7.52,-6.21
3.21,8.15,-4.79
3.45,8.12,-3.92
3.51,8.64,-2.34
3.28,8.72,-1.17
3.10,8.43,-0.19
2.80,8.57,0.86
3.35,9.17,1.98
3.75,10.02,2.19
3.43,9.21,2.10
2.56,7.90,2.97
1.95,7.12,3.37
1.93,7.12,3.62
2.11,7.34,3.60
1.93,7.46,3.91
1.76,7.20,4.00
1.86,7.78,4.38
