0.13,0.08,7.39
0.39,0.13,7.65
0.37,0.13,7.21
0.51,0.20,7.25
0.14,0.15,7.11
-0.06,0.12,7.05
-0.07,0.01,6.85
0.42,0.14,7.04
0.46,0.10,7.09
0.47,0.18,7.18
0.27,0.11,7.19
0.20,0.18,6.98
0.01,0.15,7.05
0.11,0.26,7.28
0.47,0.30,7.18
0.32,0.15,7.07
0.42,0.20,7.30
0.04,0.18,7.18
0.02,0.15,5.48
0.19,0.08,7.07
0.39,0.11,7.16
0.35,0.08,7.17
0.33,0.06,7.17
0.29,0.14,7.17
0.20,0.02,7.11
0.07,0.12,7.18
0.24,0.07,7.05
0.38,0.10,7.10
0.34,0.06,7.20
0.19,0.05,7.13
0.37,-0.05,7.02
0.31,-0.04,7.05
0.15,-0.02,7.25
0.33,0.01,7.33
0.36,-0.05,7.18
0.10,0.02,7.13
0.23,0.17,7.63
0.15,-0.02,7.31
0.20,-0.04,7.15
0.19,0.15,6.99
0.42,0.09,7.05
0.39,0.14,8.16
-0.03,0.07,7.22
0.05,0.12,7.16
0.12,0.03,7.19
0.21,0.10,7.11
0.37,0.08,7.13
0.12,0.14,7.13
0.09,0.06,7.23
0.21,0.15,7.23
0.25,0.18,7.03
0.17,0.25,6.69
0.05,0.14,7.24
0.10,0.11,7.05
0.06,0.14,7.13
0.14,0.17,7.09
0.25,0.15,7.18
0.27,0.05,7.09
0.08,0.09,7.17
0.07,0.06,7.24
0.08,0.00,7.16
0.23,0.08,7.35
0.15,0.07,6.97
0.16,0.09,7.17
0.18,-0.04,7.03
0.15,0.02,6.15
0.23,-0.04,6.99
0.23,-0.03,7.16
0.28,0.07,7.11
0.32,0.09,7.17
0.14,-0.03,7.15
0.06,0.04,7.27
0.19,0.06,7.20
0.24,0.02,7.06
0.25,0.03,7.16
0.19,0.02,7.24
0.27,0.11,7.21
0.21,0.11,7.13
0.32,0.50,8.25
0.37,0.13,7.65
0.13,0.13,6.82
0.32,0.17,7.15
0.11,0.13,6.64
0.15,0.16,7.07
0.03,0.10,7.30
0.07,0.10,6.42
0.22,0.18,6.96
0.42,0.21,7.06
0.30,0.04,7.27
0.19,-0.01,7.01
-0.08,-0.06,6.93
-0.12,-0.03,7.13
0.36,-0.02,7.38
0.46,-0.05,7.40
0.23,0.02,7.32
0.09,-0.12,7.31
0.05,-0.24,7.09
0.09,0.01,7.52
0.27,-0.09,7.21
0.32,-0.07,7.41
0.17,-0.15,7.31
0.02,-0.13,7.13
0.02,-0.13,6.89
0.23,-0.24,7.05
0.30,-0.17,7.16
0.13,-0.15,7.31
0.10,-0.11,7.15
0.11,-0.09,7.18
0.13,-0.21,7.13
0.15,-0.11,7.21
0.13,-0.09,7.03
0.11,-0.11,7.14
0.21,-0.13,7.03
0.19,-0.12,7.38
0.17,0.00,7.11
-0.11,-0.09,6.92
0.13,0.01,6.98
0.10,-0.03,7.09
0.16,0.02,7.18
0.06,0.01,7.18
0.18,0.09,7.05
-0.01,0.05,7.19
-0.05,0.05,7.11
0.07,0.16,6.98
0.16,0.12,7.15
0.14,0.19,7.17
-0.06,0.14,7.15
-0.10,0.16,7.13
-0.06,0.16,7.00
-0.05,0.28,7.01
0.19,0.18,7.08
0.04,0.22,7.19
0.03,0.24,7.13
-0.14,0.20,6.92
-0.04,0.21,7.00
0.18,0.18,7.28
0.11,0.27,6.95
0.35,0.18,6.88
-0.05,0.02,7.13
-0.04,0.17,7.33
0.13,0.23,7.20
0.08,0.17,6.97
0.32,0.21,7.45
0.06,0.24,7.21
0.28,0.33,7.09
0.31,0.16,6.52
